tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
1/1/2010,DKI1 (Bunderan HI),60.00,4.00,73.00,27.00,14.00,73.00,CO,SEDANG
1/2/2010,DKI1 (Bunderan HI),32.00,2.00,16.00,33.00,9.00,33.00,O3,BAIK
1/3/2010,DKI1 (Bunderan HI),27.00,2.00,19.00,20.00,9.00,27.00,PM10,BAIK
1/4/2010,DKI1 (Bunderan HI),22.00,2.00,16.00,15.00,6.00,22.00,PM10,BAIK
1/5/2010,DKI1 (Bunderan HI),25.00,2.00,17.00,15.00,8.00,25.00,PM10,BAIK
1/6/2010,DKI1 (Bunderan HI),30.00,3.00,22.00,19.00,11.00,30.00,PM10,BAIK
1/7/2010,DKI1 (Bunderan HI),41.00,4.00,24.00,27.00,13.00,41.00,PM10,BAIK
1/8/2010,DKI1 (Bunderan HI),64.00,8.00,51.00,19.00,15.00,64.00,PM10,SEDANG
1/9/2010,DKI1 (Bunderan HI),55.00,5.00,39.00,23.00,16.00,55.00,PM10,SEDANG
1/10/2010,DKI1 (Bunderan HI),34.00,5.00,23.00,26.00,12.00,34.00,PM10,BAIK
1/11/2010,DKI1 (Bunderan HI),55.00,10.00,32.00,23.00,16.00,55.00,PM10,SEDANG
1/12/2010,DKI1 (Bunderan HI),45.00,4.00,33.00,9.00,17.00,45.00,PM10,BAIK
1/13/2010,DKI1 (Bunderan HI),28.00,5.00,29.00,10.00,12.00,29.00,CO,BAIK
1/14/2010,DKI1 (Bunderan HI),38.00,6.00,28.00,15.00,10.00,38.00,PM10,BAIK
1/15/2010,DKI1 (Bunderan HI),35.00,5.00,33.00,17.00,17.00,35.00,PM10,BAIK
1/16/2010,DKI1 (Bunderan HI),54.00,5.00,38.00,17.00,18.00,54.00,PM10,SEDANG
1/17/2010,DKI1 (Bunderan HI),44.00,4.00,28.00,22.00,14.00,44.00,PM10,BAIK
1/18/2010,DKI1 (Bunderan HI),38.00,4.00,29.00,24.00,15.00,38.00,PM10,BAIK
1/19/2010,DKI1 (Bunderan HI),40.00,3.00,43.00,23.00,23.00,43.00,CO,BAIK
1/20/2010,DKI1 (Bunderan HI),61.00,5.00,63.00,16.00,17.00,63.00,CO,SEDANG
1/21/2010,DKI1 (Bunderan HI),36.00,4.00,27.00,23.00,13.00,36.00,PM10,BAIK
1/22/2010,DKI1 (Bunderan HI),51.00,4.00,45.00,14.00,13.00,51.00,PM10,SEDANG
1/23/2010,DKI1 (Bunderan HI),35.00,3.00,30.00,20.00,14.00,35.00,PM10,BAIK
1/24/2010,DKI1 (Bunderan HI),56.00,6.00,46.00,30.00,14.00,56.00,PM10,SEDANG
1/25/2010,DKI1 (Bunderan HI),59.00,4.00,38.00,18.00,15.00,59.00,PM10,SEDANG
1/26/2010,DKI1 (Bunderan HI),43.00,5.00,42.00,19.00,24.00,43.00,PM10,BAIK
1/27/2010,DKI1 (Bunderan HI),54.00,8.00,38.00,40.00,16.00,54.00,PM10,SEDANG
1/28/2010,DKI1 (Bunderan HI),72.00,8.00,55.00,20.00,17.00,72.00,PM10,SEDANG
1/29/2010,DKI1 (Bunderan HI),51.00,8.00,24.00,19.00,11.00,51.00,PM10,SEDANG
1/30/2010,DKI1 (Bunderan HI),47.00,8.00,32.00,19.00,12.00,47.00,PM10,BAIK
1/31/2010,DKI1 (Bunderan HI),32.00,5.00,25.00,26.00,10.00,32.00,PM10,BAIK
1/1/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/2/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/3/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/4/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/5/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/6/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/7/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/8/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/9/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/10/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/11/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/12/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/13/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/14/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/15/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/16/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/17/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/18/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/19/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/20/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/21/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/22/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
1/23/2010,DKI2 (Kelapa Gading),---,---,---,---,---,0.00,,TIDAK ADA DATA
